,time,education,difficulty
1139,2926.085,,
1140,1828.979,,
1141,6659.254,,
1142,160.872,2.0,1.0
1143,43.258,2.0,1.0
1144,430.712,3.0,1.0
1145,860.2489999999999,3.0,2.0
1146,1338.036,3.0,1.0
1147,1795.95,3.0,1.0
1148,172.36599999999999,3.0,1.0
1149,189.361,3.0,1.0
1150,47.44,3.0,2.0
1151,279.95599999999996,3.0,1.0
1152,149.735,3.0,1.0
1153,489.159,3.0,1.0
1154,1998.106,3.0,1.0
1155,3378.7940000000003,3.0,1.0
1156,1038.808,3.0,1.0
1157,5097.833,4.0,3.0
1158,63.783,3.0,1.0
1159,23.746,3.0,1.0
1160,351.754,3.0,1.0
1161,41.618,3.0,1.0
1162,341.635,3.0,1.0
1163,395.809,3.0,1.0
1164,3275.801,,
1165,3670.4559999999997,,
1166,3571.4040000000005,,
1167,1028.453,,
1168,1262.631,,
1169,2941.572,,
1170,8679.505,,
1171,355.894,,
1172,130.203,,
1173,306.16,,
1174,1178.035,,
1175,882.132,,
1176,2551.987,,
1177,1168.953,,
1178,2258.099,,
1179,5595.359,,
1180,7288.637,3.0,4.0
1181,1340.0439999999999,3.0,1.0
1182,1894.842,1.0,3.0
1183,7524.653,3.0,1.0
1184,4707.542,,
1185,3632.8340000000003,,
1186,1913.0729999999999,,
1187,2521.3360000000002,,
1188,507.445,,
1189,2349.237,3.0,
1190,2380.153,2.0,2.0
1191,4403.948,4.0,3.0
1192,1051.502,3.0,3.0
1193,1128.262,3.0,2.0
1194,2972.3759999999997,,
1195,3963.196,,
1196,1822.775,4.0,3.0
1197,223.94799999999998,3.0,1.0
1198,112.042,3.0,1.0
1199,817.4810000000001,3.0,1.0
1200,242.46599999999998,3.0,1.0
1201,2908.783,,
1202,3070.361,5.0,1.0
1203,6452.804,5.0,3.0
1204,5003.497,5.0,3.0
1205,6435.174,4.0,4.0
1206,3267.4159999999997,,
1207,4209.314,3.0,3.0
1208,,,
1209,,,
1210,17.487000000000002,,
1211,64.259,,
1212,776.452,,
1213,25.064,,
1214,1468.495,,
1215,304.373,,
1216,253.87599999999998,,
1217,1635.401,,
1218,2953.014,3.0,3.0
1219,324.459,,
1220,1801.618,2.0,2.0
1221,1903.274,,
1222,188.213,,
1223,834.6110000000001,,
1224,102.046,,
1225,1563.435,,
1226,405.399,4.0,
1227,774.914,,
1228,233.153,1.0,3.0
1229,3986.618,5.0,4.0
1230,1967.388,5.0,4.0
1231,1374.523,5.0,3.0
1232,,,
1233,,,
1234,471.224,4.0,3.0
1235,,,
1236,1310.9170000000001,,
1237,221.107,,
1238,484.985,,
1239,,,
1240,,,
1241,,,
1242,,,
1243,,,
1244,,,
1245,,,
1246,,,
1247,,,
1248,,,
1249,,,
1250,,,
1251,,,
1252,,,
1253,,,
1254,,,
1255,,,
1256,,,
1257,,,
1258,,,
1259,,,
1260,,,
1261,,,
1262,,,
1263,,,
1264,,,
1265,,,
1266,,,
1267,,,
1268,,,
1269,,,
1270,,,
1271,,,
1272,,,
1273,,,
1274,,,
1275,,,
1276,,,
1277,,,
1278,,,
1279,,,
1280,,,
1281,,,
1282,,,
1283,,,
1284,,,
1285,,,
1286,,,
1287,,,
1288,,,
1289,,,
1290,,,
1291,,,
1292,,,
1293,,,
1294,,,
1295,,,
1296,,,
1297,,,
1298,,,
1299,,,
1300,,,
1301,,,
1302,,,
1303,,,
1304,,,
1305,,,
1306,,,
1307,,,
1308,,,
1309,,,
1310,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,,,
1319,,,
1320,424.099,,
1321,486.28,,
1322,222.25599999999997,,
1323,1371.582,5.0,3.0
1324,1178.733,5.0,3.0
1325,1520.7,5.0,1.0
1326,1843.703,5.0,3.0
1327,5065.673,,
1328,1260.886,,
1329,1890.635,,
1330,567.755,,
1331,598.4169999999999,,
1332,670.2669999999999,,
1333,794.097,,
1334,526.793,,
1335,1640.075,,
1336,1047.265,,
1337,1684.5410000000002,,
1338,388.342,,
1339,1576.608,,
1340,3229.1659999999997,,
1341,,,
1342,,,
1343,,,
1344,1204.139,5.0,3.0
1345,2539.945,5.0,4.0
1346,857.58,5.0,4.0
1347,906.0369999999999,5.0,3.0
1348,2784.4509999999996,5.0,5.0
1349,932.084,5.0,4.0
1350,,,
1351,2453.363,5.0,5.0
1352,826.6489999999999,5.0,4.0
1353,1884.05,5.0,4.0
1354,2382.065,5.0,5.0
1355,9237.787,5.0,5.0
1356,1359.747,5.0,4.0
1357,1307.623,5.0,4.0
1358,1180.319,,
1359,,,
1360,,,
1361,,,
1362,1549.4589999999998,,
1363,432.774,,
1364,2266.384,5.0,5.0
1365,1182.606,,
1366,1529.523,,
1367,868.673,,
1368,362.04400000000004,,
1369,1119.569,,
1370,5261.67,,
1371,1671.023,,
1372,923.188,,
1373,772.8480000000001,,
1374,2332.342,,
1375,2453.916,,
1376,5084.18,,
1377,1794.7939999999999,,
1378,531.479,,
1379,225.071,,
1380,1036.428,,
1381,888.788,,
1382,2055.5229999999997,,
1383,869.02,,
1384,737.0310000000001,,
1385,,,
1386,5250.513000000001,,
1387,,,
1388,,,
1389,,,
1390,,,
1391,1217.2,5.0,4.0
1392,998.582,5.0,4.0
1393,1326.513,5.0,4.0
1394,2537.591,5.0,4.0
1395,3277.8,5.0,4.0
1396,3677.1820000000002,5.0,4.0
1397,3237.985,5.0,4.0
1398,9525.404,5.0,3.0
1399,12485.296,,
1400,8784.005,,
1401,1988.849,,
1402,4399.3279999999995,,
1403,,,
1404,,,
1405,6544.86,,
1406,2152.964,,
1407,5505.2080000000005,,
1408,2815.402,,
1409,6078.955,,
1410,1902.871,5.0,5.0
1411,6572.829000000001,5.0,4.0
1412,6037.613,5.0,5.0
1413,,,
1414,,,
1415,6502.7519999999995,5.0,5.0
1416,11121.351999999999,5.0,5.0
1417,2807.116,5.0,5.0
1418,1612.655,5.0,4.0
1419,7478.861999999999,5.0,5.0
